순위,선수,팀,평균자책,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책,WHIP,완투,완봉,퀄리티스타트,상대타자,투구수,폭투,보크,블론세이브,피안타율,선발,선발승,구원승,종료,세이브기회,터프세이브,병살유도,땅볼유도,뜬공유도,BABIP,피출루율,피장타율,피OPS,땅볼/뜬공,투구수/경기,투구수/이닝,K/9,BB/9,K/BB,FIP,ERA-,FIP-,WAR,삼진비율,볼넷비율,세이브율,HR/9,H/9,LOB%
1,김민재,KIA,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,8,21,0,0,0,0.25,0,0,0,1,0,0,0,3,2,0.286,0.25,0.25,0.5,1.5,21,10.5,4.5,0,0,2.39,0,56.2,0.1,12.5,0,0,0,9,100
1,유지성,KIA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,10,10,0,0,0,3.39,0,79.7,0,0,0,0,0,0,0
3,성영탁,KIA,1.55,45,3,2,0,7,0.6,52.3,38,2,13,0,30,11,9,0.97,0,0,0,198,753,1,0,0,0.209,0,0,3,5,5,0,7,69,46,0.238,0.26,0.275,0.535,1.5,16.7,14.4,5.16,2.24,2.31,3.49,35.9,81.9,1.2,15.2,6.6,0,0.34,6.45,83
4,네일,KIA,2.25,27,8,4,0,0,0.667,164.3,135,6,41,15,152,46,41,1.07,0,0,19,664,2521,4,0,0,0.225,27,8,0,0,0,0,18,204,110,0.291,0.291,0.289,0.58,1.85,93.4,15.3,8.32,2.25,3.71,3.04,52.5,71.4,5.6,22.9,6.2,0,0.33,7.36,79.4
5,김현수,KIA,2.45,18,0,0,0,0,0,18.3,17,2,13,1,11,5,5,1.64,0,0,0,86,309,2,0,0,0.243,0,0,0,12,0,0,0,16,27,0.259,0.365,0.4,0.765,0.59,17.2,16.9,5.4,6.38,0.85,5.81,55.6,136.5,0.1,12.8,15.1,0,0.95,8.05,92.2
6,김기훈,KIA,3.25,24,1,1,0,0,0.5,27.7,25,2,10,1,27,11,10,1.27,0,0,0,117,464,2,0,0,0.245,0,0,1,2,1,0,0,15,38,0.303,0.31,0.402,0.712,0.39,19.3,16.8,8.78,3.25,2.7,3.56,72,83.7,0.4,23.1,8.5,0,0.61,7.67,75.3
7,전상현,KIA,3.34,74,7,5,1,25,0.583,70,64,4,20,2,50,30,26,1.2,0,0,0,290,1048,3,0,7,0.242,0,0,7,5,31,0,7,75,78,0.282,0.298,0.345,0.643,0.96,14.2,15,6.43,2.57,2.5,3.65,78.5,85.7,0.8,17.2,6.9,3.2,0.51,8.23,69.7
8,올러,KIA,3.62,26,11,7,0,0,0.611,149,125,8,47,8,169,64,60,1.15,1,0,16,620,2490,2,0,0,0.226,26,11,0,1,0,0,5,123,143,0.305,0.293,0.325,0.618,0.86,95.8,16.7,10.21,2.84,3.6,2.93,85.1,68.8,3.9,27.3,7.6,0,0.48,7.55,68.7
9,정해영,KIA,3.79,60,3,7,27,0,0.3,61.7,75,4,18,3,72,30,26,1.51,0,0,0,275,1117,1,0,7,0.299,0,0,3,50,35,2,6,59,47,0.401,0.35,0.398,0.748,1.26,18.6,18.1,10.51,2.63,4,2.94,86.8,68.9,0.8,26.2,6.5,77.1,0.57,10.66,73
10,조상우,KIA,3.9,72,6,6,1,28,0.5,60,64,5,27,6,55,29,26,1.52,0,0,0,271,1113,2,0,3,0.277,0,0,6,7,33,0,4,58,55,0.343,0.366,0.407,0.773,1.05,15.5,18.6,8.25,4.05,2.04,4.29,91.6,100.8,0.3,20.3,10,3,0.75,9.6,75.6
11,윤중현,KIA,4.35,13,1,0,0,0,1,10.3,10,2,7,0,7,5,5,1.65,0,0,0,48,159,1,0,0,0.25,0,0,1,6,0,0,0,12,11,0.258,0.362,0.5,0.862,1.09,12.2,15.4,6.1,6.1,1,6.39,96.1,150.1,-0.1,14.6,14.6,0,1.64,8.18,84.5
12,유승철,KIA,4.5,1,0,0,0,0,0,2,3,0,2,0,3,1,1,2.5,0,0,0,11,40,1,0,0,0.333,0,0,0,1,0,0,0,1,2,0.5,0.455,0.333,0.788,0.5,40,20,13.5,9,1.5,3.39,105.7,79.7,0,27.3,18.2,0,0,13.5,80
13,김태형,KIA,4.56,8,0,3,0,0,0,23.7,25,4,7,5,14,12,12,1.35,0,0,0,107,422,1,1,0,0.272,3,0,0,1,0,0,1,28,25,0.284,0.356,0.446,0.802,1.12,52.8,17.8,5.32,2.66,2,5.76,100.1,135.3,0,13.1,6.5,0,1.42,8.88,79.6
14,이준영,KIA,4.76,57,3,1,0,7,0.75,34,36,6,11,1,34,18,18,1.38,0,0,0,145,569,1,0,1,0.273,0,0,3,5,10,0,5,35,27,0.326,0.333,0.485,0.818,1.3,10,16.7,9,2.91,3.09,4.75,111.9,111.4,0,23.4,7.6,0,1.59,9.53,75.8
15,김도현,KIA,4.81,24,4,7,0,0,0.364,125.3,149,11,33,10,71,79,67,1.45,0,0,9,561,2068,5,1,0,0.296,24,4,0,0,0,0,8,148,143,0.322,0.347,0.433,0.78,1.03,86.2,16.5,5.1,2.37,2.15,4.42,112.4,103.9,0.9,12.7,5.9,0,0.79,10.64,64
16,양현종,KIA,5.06,30,7,9,0,0,0.438,153,171,12,57,4,109,101,86,1.49,0,0,11,677,2497,10,0,0,0.285,30,7,0,0,0,0,15,153,175,0.326,0.347,0.397,0.744,0.87,83.2,16.3,6.41,3.35,1.91,4.18,118.8,98.2,1.1,16.1,8.4,0,0.71,10.06,60.9
17,황동하,KIA,5.3,18,1,2,0,0,0.333,35.7,38,4,10,3,31,21,21,1.35,0,0,0,155,576,0,0,1,0.277,3,0,1,3,1,0,1,32,38,0.327,0.336,0.482,0.818,0.84,32,16.1,7.82,2.52,3.1,4.17,118.9,97.9,0.1,20,6.5,0,0.96,9.16,66.1
18,윤영철,KIA,5.58,13,2,7,0,0,0.222,50,52,4,30,1,43,37,31,1.64,0,0,1,227,888,4,0,0,0.269,13,2,0,0,0,0,7,48,52,0.324,0.367,0.368,0.735,0.92,68.3,17.8,7.74,5.4,1.43,4.57,131,107.4,0.1,18.9,13.2,0,0.72,9.36,59.4
19,장재혁,KIA,6,3,0,0,0,0,0,3,3,1,3,0,2,2,2,2,0,0,0,13,63,0,0,0,0.3,0,0,0,1,0,0,1,1,4,0.286,0.462,0.6,1.062,0.25,21,21,6,9,0.67,9.39,140.9,220.6,-0.1,15.4,23.1,0,3,9,87
20,한재승,KIA,6.48,36,1,1,1,1,0.5,33.3,40,5,31,1,35,29,24,2.13,0,0,0,161,685,4,0,0,0.317,0,0,1,8,4,0,6,31,22,0.398,0.45,0.468,0.918,1.41,19,20.6,9.45,8.37,1.13,6.07,149.2,142.5,-0.8,21.7,19.3,25,1.32,10.59,66.2
21,최지민,KIA,6.58,66,2,4,0,9,0.333,53.3,46,5,51,4,39,40,39,1.82,0,0,0,253,1042,4,0,0,0.238,0,0,2,10,10,0,5,47,64,0.27,0.402,0.363,0.765,0.73,15.8,19.5,6.58,8.61,0.76,6.21,152.6,145.8,-1,15.4,20.2,0,0.83,7.67,64.9
22,김건국,KIA,6.85,26,0,3,0,1,0,46,59,11,17,5,31,38,35,1.65,0,0,0,216,841,3,0,1,0.311,6,0,0,6,2,0,1,51,52,0.318,0.377,0.532,0.909,0.98,32.3,18.3,6.07,3.33,1.82,6.59,160.8,154.7,-1,14.4,7.9,0,2.15,11.54,65.5
23,이도현,KIA,6.92,6,1,1,0,0,0.5,13,17,1,8,1,9,11,10,1.92,0,0,0,65,242,1,0,0,0.309,2,1,0,1,0,0,1,16,14,0.348,0.4,0.455,0.855,1.14,40.3,18.6,6.23,5.54,1.13,5.09,162.6,119.4,-0.2,13.8,12.3,0,0.69,11.77,61
24,이의리,KIA,7.94,10,1,4,0,0,0.2,39.7,41,6,31,3,42,37,35,1.82,0,0,2,193,784,1,0,0,0.266,10,1,0,0,0,0,3,38,35,0.324,0.395,0.481,0.876,1.09,78.4,19.8,9.53,7.03,1.35,5.72,179,134.2,-0.5,21.8,16.1,0,1.31,8.93,57.1
25,김시훈,KIA,8.06,24,1,0,0,1,1,25.7,33,7,10,0,18,25,23,1.68,0,0,0,118,439,0,0,0,0.308,0,0,1,10,1,0,2,29,28,0.313,0.364,0.561,0.925,1.04,18.3,17.1,6.31,3.51,1.8,6.5,177.8,152.7,-0.8,15.3,8.5,0,2.3,10.87,54.2
26,이호민,KIA,8.59,13,1,0,0,0,1,14.7,21,0,9,2,7,14,14,2.05,0,0,0,72,259,0,0,0,0.362,0,0,1,6,0,0,3,15,16,0.404,0.457,0.448,0.905,0.94,19.9,17.7,4.3,5.52,0.78,4.56,181.2,107,-0.3,9.7,12.5,0,0,11.57,56.3
27,김대유,KIA,9.72,15,0,1,0,1,0,8.3,12,1,4,0,3,9,9,1.92,0,0,0,42,140,0,0,0,0.324,0,0,0,2,0,0,0,11,12,0.324,0.381,0.432,0.813,0.92,9.3,16.8,3.24,4.32,0.75,5.5,211.3,129.3,-0.3,7.1,9.5,0,1,12,47.9
28,이형범,KIA,11.7,12,0,0,0,0,0,10,21,0,5,0,6,16,13,2.6,0,0,0,56,209,0,0,0,0.438,0,0,0,5,0,0,0,14,9,0.477,0.473,0.604,1.077,1.56,17.4,20.9,5.4,4.5,1.2,3.69,274.7,86.7,-0.4,10.7,8.9,0,0,18.9,38.5
29,김민주,KIA,12,3,0,0,0,0,0,3,4,0,2,2,2,4,4,2,0,0,0,17,54,0,0,0,0.333,0,0,0,0,0,0,0,2,5,0.364,0.471,0.583,1.054,0.4,18,18,6,6,1,6.06,281.8,142.3,-0.1,11.8,11.8,0,0,12,50
30,임기영,KIA,13,10,1,1,0,0,0.5,9,23,2,4,0,5,13,13,3,0,0,0,52,176,0,0,0,0.489,0,0,1,2,0,0,1,6,13,0.525,0.529,0.702,1.231,0.46,17.6,19.6,5,4,1.25,6.5,305.3,152.7,-0.5,9.6,7.7,0,2,23,57.9
31,곽도규,KIA,13.5,9,0,0,0,3,0,4,3,0,6,2,5,6,6,2.25,0,0,0,22,99,1,0,1,0.214,0,0,0,1,4,0,1,3,3,0.333,0.5,0.214,0.714,1,11,24.8,11.25,13.5,0.83,6.89,317,161.9,-0.2,22.7,27.3,0,0,6.75,45.5
32,이성원,KIA,16.88,4,0,0,0,0,0,2.7,3,0,4,3,3,7,5,2.63,0,0,0,19,71,0,0,0,0.25,0,0,0,2,0,0,0,1,5,0.333,0.526,0.333,0.859,0.2,17.8,26.6,10.13,13.5,0.75,6.85,243.9,161,-0.3,15.8,21.1,0,0,6.23,30
33,김정엽,KIA,18,2,0,0,0,0,0,1,0,0,1,1,0,2,2,1,0,0,0,5,21,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0.4,0,0.4,0,10.5,21,0,9,0,9.39,422.7,220.6,-0.1,0,20,0,0,0,0
34,홍원빈,KIA,27,2,0,0,0,0,0,1.7,2,0,4,0,1,5,5,3.6,0,0,0,11,36,2,0,0,0.333,0,0,0,1,0,0,0,1,3,0.333,0.545,0.333,0.878,0.33,18,21.6,5.4,21.6,0.25,6.39,317,150.1,-0.2,9.1,36.4,0,0,5.4,16.7
1,최용준,KT,2,7,1,0,0,0,1,9,13,0,2,0,5,2,2,1.67,0,0,0,39,128,0,0,0,0.351,0,0,1,1,0,0,2,5,14,0.406,0.385,0.378,0.763,0.36,18.3,14.2,5,2,2.5,2.95,47,69.2,0.2,12.8,5.1,0,0,13,86.7
2,우규민,KT,2.44,53,1,2,0,9,0.333,44.3,45,2,3,4,24,12,12,1.08,0,0,0,185,665,0,0,1,0.259,0,0,1,10,14,0,2,52,53,0.291,0.287,0.328,0.615,0.98,12.5,15,4.87,0.61,8,3.37,56.4,79.2,0.9,13,1.6,0,0.4,9,81.3
3,이상동,KT,2.49,41,3,0,0,5,1,43.3,31,4,9,2,34,12,12,0.92,0,0,0,168,656,1,0,1,0.203,0,0,3,5,10,0,2,32,58,0.231,0.253,0.32,0.573,0.55,16,15.1,7.06,1.87,3.78,3.78,57.6,88.7,0.8,20.2,5.4,0,0.82,6.34,82.4
4,박건우,KT,2.7,6,0,0,0,0,0,6.7,4,1,4,0,9,2,2,1.2,0,0,0,28,117,0,0,0,0.167,0,0,0,4,0,0,0,3,8,0.214,0.286,0.292,0.578,0.38,19.5,17.6,12.15,5.4,2.25,4.23,50.7,99.4,0.1,32.1,14.3,0,1.08,4.32,90.9
5,패트릭,KT,3.12,15,3,3,0,2,0.5,60.7,63,2,21,2,45,26,21,1.38,0,0,2,267,992,5,0,0,0.259,9,3,0,0,4,0,4,75,60,0.311,0.323,0.342,0.665,1.25,66.1,16.4,6.68,3.12,2.14,3.47,71.2,81.6,1.2,16.9,7.9,0,0.29,9.1,72.1
6,문용익,KT,3.14,20,1,0,0,0,1,28.7,21,3,19,0,31,11,10,1.4,0,0,0,121,528,0,0,0,0.212,2,1,0,5,0,0,2,27,21,0.273,0.336,0.374,0.71,1.29,26.4,18.4,9.73,5.97,1.63,4.51,69.7,106,0.3,25.6,15.7,0,0.89,6.23,81
7,고영표,KT,3.3,29,11,8,0,0,0.579,161,170,10,30,15,154,70,59,1.24,1,1,20,685,2525,4,1,0,0.272,26,11,0,2,0,0,14,190,119,0.341,0.317,0.375,0.692,1.6,87.1,15.7,8.61,1.68,5.13,3.13,77.4,73.4,3.8,22.5,4.4,0,0.56,9.5,72.1
7,소형준,KT,3.3,26,10,7,1,0,0.588,147.3,155,6,29,3,123,60,54,1.25,0,0,18,617,2209,4,0,0,0.268,24,10,0,1,1,0,13,189,112,0.331,0.306,0.351,0.657,1.69,85,15,7.51,1.77,4.24,2.91,77.1,68.3,4,19.9,4.7,100,0.36,9.43,71.1
9,박영현,KT,3.39,67,5,6,35,1,0.455,69,68,9,34,2,77,31,26,1.48,0,0,0,305,1228,6,1,7,0.258,0,0,5,53,43,3,3,37,83,0.33,0.346,0.405,0.751,0.45,18.3,17.8,10.04,4.43,2.26,4.42,79.6,103.8,0.5,25.2,11.1,81.4,1.17,8.87,79.9
10,오원석,KT,3.67,25,11,8,0,0,0.579,132.3,130,10,52,4,113,60,54,1.38,0,0,12,565,2187,5,0,0,0.261,25,11,0,0,0,0,10,132,127,0.317,0.333,0.376,0.709,1.04,87.5,16.5,7.69,3.54,2.17,3.93,85.8,92.4,2.5,20,9.2,0,0.68,8.8,73.3
11,손동현,KT,3.84,58,5,0,1,13,1,58.7,66,6,12,3,55,30,25,1.33,0,0,0,257,938,4,0,2,0.278,0,0,5,7,17,0,0,43,74,0.339,0.32,0.43,0.75,0.58,16.2,16,8.44,1.84,4.58,3.61,87.6,84.7,0.5,21.4,4.7,5.9,0.9,9.85,70.2
12,전용주,KT,3.95,21,0,1,0,4,0,13.7,18,0,7,0,11,8,6,1.83,0,0,0,66,257,3,0,0,0.31,0,0,0,0,7,0,1,20,10,0.375,0.379,0.379,0.758,2,12.2,18.8,7.24,4.61,1.57,3.33,82.7,78.1,0.1,16.7,10.6,0,0,10.57,68
13,헤이수스,KT,3.96,32,9,9,0,1,0.5,163.7,173,17,44,8,165,85,72,1.33,0,0,15,712,2716,7,2,0,0.267,30,9,0,0,0,0,7,171,143,0.332,0.32,0.385,0.705,1.2,84.9,16.6,9.07,2.42,3.75,3.68,92,86.4,2.7,23.2,6.2,0,0.93,9.42,69.6
14,주권,KT,4.43,34,0,1,0,0,0,40.7,48,3,13,0,19,23,20,1.5,0,0,0,176,634,0,1,1,0.302,0,0,0,14,1,0,10,56,37,0.326,0.353,0.371,0.724,1.51,18.6,15.6,4.2,2.88,1.46,4.34,99.8,101.9,0.1,10.8,7.4,0,0.64,10.2,66.9
15,김민수,KT,4.96,58,4,3,0,11,0.571,52.7,63,5,15,1,36,31,29,1.48,0,0,0,230,817,5,0,1,0.303,0,0,4,12,21,0,3,56,57,0.339,0.346,0.447,0.793,0.98,14.1,15.5,6.15,2.56,2.4,4.15,112.8,97.4,0.1,15.7,6.5,0,0.83,10.44,66.7
16,임준형,KT,5.19,10,0,0,0,0,0,8.7,11,0,7,1,6,7,5,2.08,0,0,0,42,179,1,0,0,0.333,0,0,0,3,0,0,3,10,6,0.407,0.463,0.364,0.827,1.67,17.9,20.7,6.23,7.27,0.86,4.55,102.3,106.9,-0.1,14.3,16.7,0,0,9.58,63.2
17,원상현,KT,5.21,52,0,3,0,14,0,57,56,8,35,1,45,35,33,1.6,0,0,0,259,1009,4,0,0,0.257,0,0,0,5,17,0,2,62,58,0.286,0.358,0.413,0.771,1.07,19.4,17.7,7.11,5.53,1.29,5.53,122.4,129.9,-0.4,17.4,13.5,0,1.26,8.84,70.5
18,조이현,KT,5.4,3,1,2,0,0,0.333,11.7,17,2,0,1,3,7,7,1.46,0,0,0,50,173,0,0,0,0.347,3,1,0,0,0,0,2,9,20,0.341,0.36,0.551,0.911,0.45,57.7,14.8,2.31,0,0,5.12,111,120.2,0.1,6,0,0,1.35,11.48,72.4
18,쿠에바스,KT,5.4,18,3,10,0,0,0.231,98.3,104,13,46,5,60,69,59,1.53,0,0,7,445,1663,4,1,0,0.268,18,3,0,0,0,0,8,108,118,0.287,0.351,0.415,0.766,0.92,92.4,16.9,5.49,4.21,1.3,5.43,126,127.6,-0.1,13.5,10.3,0,1.18,9.45,62.9
20,배제성,KT,5.67,8,2,3,0,0,0.4,27,38,2,11,0,23,17,17,1.81,0,0,0,127,514,1,0,0,0.33,5,1,1,0,1,0,1,26,28,0.4,0.389,0.443,0.832,0.93,64.3,19,7.67,3.67,2.09,3.87,133.1,91,0.2,18.1,8.7,0,0.67,12.67,69.3
21,이채호,KT,6.17,10,0,0,0,0,0,11.7,12,1,5,2,8,8,8,1.46,0,0,0,53,195,0,0,0,0.286,1,0,0,2,0,0,1,13,12,0.306,0.365,0.524,0.889,1.08,19.5,16.7,6.17,3.86,1.6,4.74,126.8,111.4,-0.1,15.1,9.4,0,0.68,8.1,62.5
22,최동환,KT,8.68,20,1,1,0,0,0.5,18.7,27,4,12,1,9,19,18,2.09,0,0,0,91,326,0,0,0,0.351,0,0,1,9,0,0,2,20,22,0.354,0.44,0.597,1.037,0.91,16.3,17.5,4.34,5.79,0.75,6.98,187.1,164,-0.6,9.9,13.2,0,1.77,11.95,61
23,김재원,KT,10.38,4,0,0,0,0,0,4.3,3,0,8,1,4,5,5,2.54,0,0,0,24,99,3,0,0,0.214,0,0,0,3,0,0,1,4,4,0.273,0.5,0.286,0.786,1,24.8,22.8,8.31,16.62,0.5,7.19,211.3,168.9,-0.2,16.7,33.3,0,0,5.4,58.3
24,김동현,KT,13.5,3,0,0,0,0,0,3.3,7,2,3,0,4,5,5,3,0,0,0,19,66,3,0,0,0.438,0,0,0,2,0,0,1,1,4,0.5,0.526,0.813,1.339,0.25,22,19.8,10.8,8.1,1.33,10.14,264.2,238.2,-0.2,21.1,15.8,0,4.5,15.75,69.4
25,한차현,KT,16.2,2,0,0,0,0,0,1.7,4,0,2,0,1,3,3,3.6,0,0,0,11,40,1,0,0,0.444,0,0,0,1,0,0,0,2,2,0.5,0.545,0.444,0.989,1,20,24,5.4,10.8,0.5,4.59,190.2,107.9,-0.1,9.1,18.2,0,0,10.8,50
